Time,Open,high,low,close,volume,trades
1605148200000,15643.01000000,15650.66000000,15628.50000000,15649.78000000,171.85569900,3629
1605147300000,15602.01000000,15643.12000000,15591.40000000,15642.97000000,555.23255800,10610
1605146400000,15639.50000000,15639.50000000,15597.54000000,15602.01000000,402.06853900,7252
1605145500000,15630.84000000,15654.44000000,15602.73000000,15639.84000000,379.33299300,6784
1605144600000,15636.08000000,15642.36000000,15606.97000000,15631.03000000,587.84447300,7157
1605143700000,15623.32000000,15648.99000000,15606.01000000,15636.07000000,474.83652900,8328
1605142800000,15609.36000000,15633.79000000,15577.71000000,15623.32000000,443.73397300,7661
1605141900000,15587.00000000,15640.82000000,15586.99000000,15609.36000000,1033.10342200,10462
1605141000000,15584.09000000,15600.00000000,15557.37000000,15587.00000000,822.19753900,10199
1605140100000,15523.08000000,15600.00000000,15500.01000000,15584.09000000,1136.18639900,17005
1605139200000,15684.25000000,15711.77000000,15440.64000000,15521.26000000,3004.15170400,35035
1605138300000,15708.20000000,15713.84000000,15672.64000000,15684.24000000,591.89419900,8830
1605137400000,15743.88000000,15758.08000000,15700.29000000,15708.20000000,479.33259700,7758
1605136500000,15759.22000000,15768.14000000,15700.00000000,15743.88000000,509.83150500,9379
1605135600000,15781.86000000,15784.99000000,15720.58000000,15759.74000000,627.76636100,12259
1605134700000,15802.00000000,15815.40000000,15771.33000000,15781.86000000,301.14202200,9391
1605133800000,15803.93000000,15852.68000000,15777.77000000,15802.00000000,483.29146500,13705
1605132900000,15832.96000000,15886.00000000,15800.00000000,15803.14000000,816.70240500,19600
1605132000000,15813.64000000,15833.53000000,15777.30000000,15832.96000000,608.70012200,14153
1605131100000,15729.05000000,15817.47000000,15711.50000000,15813.63000000,777.84867900,14469
1605130200000,15698.75000000,15744.20000000,15697.67000000,15729.05000000,404.42912300,9285
1605129300000,15679.38000000,15709.77000000,15625.96000000,15698.74000000,739.76704000,13124
1605128400000,15713.10000000,15736.71000000,15677.43000000,15679.38000000,669.70458000,11424
1605127500000,15682.35000000,15722.22000000,15663.58000000,15713.09000000,755.72681500,10877
1605126600000,15642.93000000,15704.22000000,15576.04000000,15682.36000000,1235.58288400,20778
1605125700000,15734.42000000,15771.87000000,15625.71000000,15642.93000000,1390.37505100,16752
1605124800000,15807.58000000,15827.67000000,15704.00000000,15734.42000000,937.06631400,16623
1605123900000,15837.98000000,15841.50000000,15783.00000000,15807.58000000,482.11253500,8374
1605123000000,15784.08000000,15840.20000000,15702.00000000,15837.99000000,1111.00068800,16114
1605122100000,15832.96000000,15862.25000000,15782.00000000,15783.13000000,558.64591300,8913
1605121200000,15811.65000000,15900.50000000,15808.38000000,15833.55000000,855.91774600,13390
1605120300000,15890.47000000,15915.81000000,15733.00000000,15811.66000000,2047.67968400,25088
1605119400000,15925.13000000,15954.17000000,15880.00000000,15890.46000000,981.44313400,16116
1605118500000,15882.75000000,15930.00000000,15878.66000000,15925.14000000,899.01006400,15502
1605117600000,15865.47000000,15965.00000000,15830.29000000,15882.13000000,1724.69718800,21273
1605116700000,15891.99000000,15934.99000000,15811.08000000,15865.48000000,1541.79788400,21918
1605115800000,15819.14000000,15930.00000000,15819.14000000,15892.00000000,2744.37400300,27327
1605114900000,15787.42000000,15860.00000000,15762.10000000,15819.15000000,1055.83565900,15400
1605114000000,15756.44000000,15804.61000000,15734.00000000,15787.46000000,998.27200800,13773
1605113100000,15720.99000000,15777.21000000,15646.09000000,15756.43000000,1534.09221900,20923
1605112200000,15800.88000000,15850.00000000,15708.35000000,15721.00000000,2579.55466100,33521
1605111300000,15718.95000000,15800.88000000,15710.50000000,15800.88000000,2290.51505000,23930
1605110400000,15667.50000000,15740.00000000,15639.21000000,15718.95000000,1400.10086400,20015
1605109500000,15660.48000000,15688.28000000,15634.31000000,15667.27000000,551.31554600,10915
1605108600000,15661.23000000,15699.00000000,15647.86000000,15660.49000000,816.15807600,11974
1605107700000,15615.06000000,15668.74000000,15607.92000000,15661.23000000,695.31391600,11204
1605106800000,15636.48000000,15641.00000000,15587.92000000,15615.06000000,578.17982300,9817
1605105900000,15635.55000000,15655.00000000,15620.65000000,15636.49000000,736.50580500,12477
1605105000000,15603.79000000,15643.60000000,15560.00000000,15635.55000000,755.02974400,11027
1605104100000,15610.86000000,15618.16000000,15581.50000000,15603.78000000,537.30616200,8550
1605103200000,15557.85000000,15614.70000000,15477.00000000,15610.87000000,1154.61706600,20264
1605102300000,15597.01000000,15631.02000000,15539.66000000,15557.85000000,1059.58527300,15678
1605101400000,15652.32000000,15667.87000000,15577.30000000,15597.00000000,1093.88062800,15320
1605100500000,15698.00000000,15718.91000000,15646.00000000,15652.33000000,1165.81092600,16484
1605099600000,15619.99000000,15700.00000000,15597.95000000,15698.01000000,1405.72284500,20047
1605098700000,15631.81000000,15661.53000000,15565.01000000,15620.00000000,1020.39578700,12668
1605097800000,15608.65000000,15648.00000000,15587.81000000,15631.80000000,548.74781500,10445
1605096900000,15563.28000000,15618.51000000,15550.00000000,15608.66000000,666.92538700,10686
1605096000000,15574.48000000,15595.50000000,15527.10000000,15563.29000000,760.33217200,13431
1605095100000,15611.23000000,15611.74000000,15536.14000000,15574.48000000,1110.79909300,18337
1605094200000,15619.07000000,15680.00000000,15600.39000000,15611.22000000,2037.51181300,24698
1605093300000,15546.20000000,15638.63000000,15500.00000000,15619.06000000,1375.30320300,16961
1605092400000,15590.80000000,15600.00000000,15516.71000000,15546.19000000,1244.45696400,17286
1605091500000,15460.78000000,15591.35000000,15460.78000000,15590.79000000,1421.20801900,20046
1605090600000,15477.58000000,15500.00000000,15458.00000000,15460.78000000,951.52452000,11418
1605089700000,15455.15000000,15479.99000000,15433.68000000,15478.34000000,630.12645700,11590
1605088800000,15427.00000000,15462.00000000,15424.48000000,15455.15000000,555.35314300,9990
1605087900000,15399.82000000,15427.46000000,15390.33000000,15426.99000000,529.20008500,11784
1605087000000,15433.50000000,15435.99000000,15382.93000000,15399.81000000,663.34140500,13203
1605086100000,15443.16000000,15469.00000000,15413.99000000,15433.50000000,814.76362200,10528
1605085200000,15396.76000000,15448.39000000,15384.13000000,15443.16000000,671.97541200,10517
1605084300000,15376.66000000,15399.99000000,15363.37000000,15396.66000000,481.89913800,8807
1605083400000,15386.85000000,15420.87000000,15376.65000000,15376.65000000,443.33729500,8971
1605082500000,15428.05000000,15428.05000000,15381.81000000,15387.20000000,425.36906200,10615
1605081600000,15400.50000000,15432.69000000,15386.33000000,15426.49000000,350.57665600,8618
