Time,Open,high,low,close,volume,trades
1605139200000,15684.25000000,15711.77000000,15440.64000000,15643.83000000,9444.86488900,131110
1605052800000,15297.21000000,15965.00000000,15272.68000000,15684.24000000,78469.74645800,1247167
1604966400000,15328.41000000,15460.00000000,15072.46000000,15297.21000000,61681.91960600,1093466
1604880000000,15475.10000000,15840.00000000,14805.54000000,15328.41000000,108976.33413400,1505441
1604793600000,14818.30000000,15650.00000000,14703.88000000,15475.10000000,65547.17857400,998773
1604707200000,15579.93000000,15753.52000000,14344.22000000,14818.30000000,101431.20655300,1557021
1604620800000,15590.02000000,15960.00000000,15166.00000000,15579.92000000,122618.19769500,1654968
1604534400000,14144.01000000,15750.00000000,14093.56000000,15590.02000000,143741.52267300,1736055
1604448000000,14023.53000000,14259.00000000,13525.00000000,14144.01000000,93016.98826200,1212959
1604361600000,13549.63000000,14066.11000000,13284.99000000,14023.53000000,74115.63078700,1052569
1604275200000,13761.49000000,13830.00000000,13195.05000000,13549.37000000,64566.42190800,869850
1604188800000,13791.00000000,13895.00000000,13603.00000000,13761.50000000,36285.64852600,606248
1604102400000,13560.10000000,14100.00000000,13411.50000000,13791.00000000,67339.23851500,1022202
1604016000000,13455.69000000,13669.98000000,13115.00000000,13560.10000000,70657.77888100,1060387
1603929600000,13266.40000000,13642.91000000,12920.77000000,13455.70000000,74872.60213200,1008433
1603843200000,13636.16000000,13859.48000000,12888.00000000,13266.40000000,94440.56122600,1234511
1603756800000,13052.15000000,13789.29000000,13019.87000000,13636.17000000,80796.55399600,1003550
1603670400000,13029.64000000,13238.81000000,12765.00000000,13052.19000000,60951.67298600,818144
1603584000000,13111.73000000,13350.00000000,12888.00000000,13028.83000000,38481.57950400,610498
1603497600000,12923.06000000,13166.73000000,12870.00000000,13111.73000000,35952.20907000,536821
1603411200000,12968.84000000,13027.69000000,12720.08000000,12923.07000000,50386.99984100,699313
1603324800000,12780.75000000,13185.00000000,12678.08000000,12968.52000000,70038.82414400,1035811
1603238400000,11910.00000000,13217.68000000,11886.95000000,12780.96000000,114584.45676700,1453620
1603152000000,11751.46000000,12038.38000000,11677.59000000,11909.99000000,62134.75066300,906111
1603065600000,11503.14000000,11823.99000000,11407.96000000,11751.47000000,47414.53469200,650960
1602979200000,11360.31000000,11505.00000000,11346.22000000,11503.14000000,23284.04119100,346946
1602892800000,11319.24000000,11402.42000000,11255.00000000,11360.20000000,22368.91524100,365973
1602806400000,11505.13000000,11541.15000000,11200.00000000,11319.32000000,48797.74950200,693210
1602720000000,11417.89000000,11617.34000000,11250.83000000,11505.12000000,48760.71767900,662386
1602633600000,11420.57000000,11547.98000000,11280.00000000,11417.89000000,41415.10601500,590025
1602547200000,11528.24000000,11557.00000000,11300.00000000,11420.56000000,42205.28370900,618262
1602460800000,11369.02000000,11720.01000000,11172.00000000,11528.25000000,52825.28371000,740823
1602374400000,11293.22000000,11445.00000000,11221.00000000,11369.02000000,29043.85133900,509714
1602288000000,11050.64000000,11491.00000000,11050.51000000,11293.22000000,43648.03694300,698561
1602201600000,10925.44000000,11104.64000000,10829.00000000,11050.64000000,48240.07323700,635681
1602115200000,10666.40000000,10950.00000000,10530.41000000,10925.57000000,51959.69157200,659291
1602028800000,10599.65000000,10681.87000000,10546.17000000,10666.39000000,32811.99027900,503440
1601942400000,10792.20000000,10800.00000000,10525.00000000,10599.66000000,48674.74047100,734526
1601856000000,10666.62000000,10798.00000000,10615.64000000,10792.21000000,34025.76165300,483340
1601769600000,10542.07000000,10696.87000000,10517.87000000,10666.63000000,23212.00159500,377553
1601683200000,10570.40000000,10603.56000000,10496.46000000,10542.06000000,22298.22134100,381329
1601596800000,10619.13000000,10664.64000000,10374.00000000,10570.40000000,50130.39370500,777193
1601510400000,10776.59000000,10920.00000000,10437.00000000,10619.13000000,60866.33289300,794855
1601424000000,10840.58000000,10849.34000000,10665.13000000,10776.59000000,39596.02732200,595383
1601337600000,10696.11000000,10867.54000000,10635.87000000,10840.48000000,41874.89839900,587576
1601251200000,10774.26000000,10950.00000000,10626.00000000,10696.12000000,50095.25173400,686664
1601164800000,10728.59000000,10799.00000000,10594.82000000,10774.25000000,30549.48325300,516004
1601078400000,10686.57000000,10820.94000000,10644.68000000,10728.60000000,28420.83665900,502670
1600992000000,10736.33000000,10760.53000000,10556.24000000,10686.67000000,48101.11700800,733430
1600905600000,10241.46000000,10795.24000000,10190.93000000,10736.32000000,57676.61942700,789282
1600819200000,10529.61000000,10537.15000000,10136.82000000,10241.46000000,51876.56807900,774391
1600732800000,10417.22000000,10572.71000000,10353.00000000,10529.61000000,43991.23547600,738576
1600646400000,10920.28000000,10988.86000000,10296.35000000,10417.22000000,70683.43117900,1028531
