Time,Open,high,low,close,volume,trades
1605146400000,15639.50000000,15686.20000000,15591.40000000,15636.39000000,1547.40042000,28124
1605142800000,15609.36000000,15654.44000000,15577.71000000,15639.84000000,1885.74796800,29930
1605139200000,15684.25000000,15711.77000000,15440.64000000,15609.36000000,5995.63906400,72701
1605135600000,15781.86000000,15784.99000000,15672.64000000,15684.24000000,2208.82466200,38226
1605132000000,15813.64000000,15886.00000000,15771.33000000,15781.86000000,2209.83601400,56849
1605128400000,15713.10000000,15817.47000000,15625.96000000,15813.63000000,2591.74942200,48302
1605124800000,15807.58000000,15827.67000000,15576.04000000,15713.09000000,4318.75106400,65030
1605121200000,15811.65000000,15900.50000000,15702.00000000,15807.58000000,3007.67688200,46791
1605117600000,15865.47000000,15965.00000000,15733.00000000,15811.66000000,5652.83007000,77979
1605114000000,15756.44000000,15934.99000000,15734.00000000,15865.48000000,6340.27955400,78418
1605110400000,15667.50000000,15850.00000000,15639.21000000,15756.43000000,7804.26279400,98389
1605106800000,15636.48000000,15699.00000000,15587.92000000,15667.27000000,2640.96736100,43910
1605103200000,15557.85000000,15655.00000000,15477.00000000,15636.49000000,3183.45877700,52318
1605099600000,15619.99000000,15718.91000000,15539.66000000,15557.85000000,4724.99967200,67529
1605096000000,15574.48000000,15661.53000000,15527.10000000,15620.00000000,2996.40116100,47230
1605092400000,15590.80000000,15680.00000000,15500.00000000,15574.48000000,5768.07107300,77282
1605088800000,15427.00000000,15591.35000000,15424.48000000,15590.79000000,3558.21213900,53044
1605085200000,15396.76000000,15469.00000000,15382.93000000,15426.99000000,2679.28052400,46032
1605081600000,15400.50000000,15432.69000000,15363.37000000,15396.66000000,1701.18215100,37011
1605078000000,15359.50000000,15408.88000000,15351.15000000,15400.51000000,1518.30144600,33617
1605074400000,15374.25000000,15413.70000000,15346.93000000,15359.49000000,1333.27375200,31336
1605070800000,15366.77000000,15398.13000000,15323.23000000,15374.25000000,1313.15154500,29066
1605067200000,15401.90000000,15441.37000000,15322.02000000,15366.38000000,1666.13925300,36614
1605063600000,15387.15000000,15443.37000000,15362.26000000,15401.90000000,1796.28237900,31903
1605060000000,15433.40000000,15446.75000000,15333.33000000,15387.16000000,2360.36733200,40065
1605056400000,15475.03000000,15499.58000000,15379.00000000,15433.40000000,2631.09842300,46360
1605052800000,15297.21000000,15499.00000000,15272.68000000,15474.63000000,4464.34900800,63866
1605049200000,15369.53000000,15377.72000000,15266.06000000,15297.21000000,2084.72963100,41518
1605045600000,15371.60000000,15394.00000000,15312.43000000,15369.54000000,1413.14961200,42404
1605042000000,15280.63000000,15383.42000000,15279.44000000,15371.60000000,1743.34983300,33468
1605038400000,15297.94000000,15327.00000000,15260.17000000,15280.63000000,1559.00879800,35376
1605034800000,15266.23000000,15342.00000000,15257.53000000,15297.94000000,2215.25667500,35849
1605031200000,15309.28000000,15310.01000000,15184.39000000,15266.23000000,1952.79254800,36028
1605027600000,15243.71000000,15324.22000000,15233.86000000,15309.29000000,2073.79464300,38862
1605024000000,15167.12000000,15279.80000000,15111.20000000,15243.70000000,3056.97760100,52735
1605020400000,15219.11000000,15265.93000000,15072.46000000,15167.49000000,3994.30085300,69608
1605016800000,15306.84000000,15325.00000000,15132.00000000,15219.11000000,4017.36502900,56633
1605013200000,15287.61000000,15330.00000000,15179.00000000,15306.83000000,3370.99927900,52277
1605009600000,15279.24000000,15393.65000000,15213.00000000,15287.61000000,3484.42310000,56464
1605006000000,15305.15000000,15323.67000000,15155.00000000,15279.24000000,4014.34054700,65654
1605002400000,15383.84000000,15430.00000000,15302.58000000,15305.14000000,2365.38392200,48025
1604998800000,15371.36000000,15440.00000000,15367.40000000,15383.84000000,2253.76636900,41417
1604995200000,15274.75000000,15460.00000000,15261.01000000,15371.37000000,3795.21835300,55523
1604991600000,15275.83000000,15333.49000000,15250.47000000,15274.74000000,1981.50038300,35304
1604988000000,15357.92000000,15390.18000000,15247.21000000,15275.82000000,2558.92021200,40688
1604984400000,15387.74000000,15441.18000000,15308.21000000,15357.92000000,2178.82245300,41300
1604980800000,15334.91000000,15417.49000000,15323.00000000,15387.50000000,2118.01038700,40053
1604977200000,15339.14000000,15357.69000000,15254.21000000,15334.91000000,2201.80986600,41194
1604973600000,15392.01000000,15429.00000000,15332.19000000,15339.14000000,2056.44010800,40174
1604970000000,15300.00000000,15401.27000000,15257.84000000,15392.01000000,2435.35012800,42564
1604966400000,15328.41000000,15350.00000000,15182.06000000,15300.00000000,2756.20927600,50348
1604962800000,15242.62000000,15347.51000000,15228.52000000,15328.41000000,2119.44672100,46177
1604959200000,15369.25000000,15418.05000000,15211.22000000,15242.61000000,2193.30241400,57299
1604955600000,15373.77000000,15433.43000000,15314.50000000,15369.24000000,2703.47118300,39223
1604952000000,15360.00000000,15492.67000000,15347.50000000,15373.76000000,3802.71737900,49031
1604948400000,15317.50000000,15449.84000000,15263.12000000,15360.00000000,4708.18391100,63722
1604944800000,15225.00000000,15323.67000000,15148.70000000,15317.51000000,3811.91102300,53885
1604941200000,15111.62000000,15244.15000000,15054.69000000,15225.00000000,4501.89204700,66756
1604937600000,15000.96000000,15135.70000000,14805.54000000,15111.62000000,9186.65916100,116872
1604934000000,15081.46000000,15156.15000000,14940.54000000,15000.96000000,9309.71134000,118507
1604930400000,15278.58000000,15441.84000000,14952.00000000,15101.00000000,7974.18485100,96240
1604926800000,15565.11000000,15586.72000000,15142.52000000,15278.58000000,10988.21862500,121418
1604923200000,15802.40000000,15808.40000000,15409.00000000,15565.27000000,10169.60995300,122531
1604919600000,15465.84000000,15840.00000000,15446.20000000,15802.39000000,7194.03822500,81101
1604916000000,15404.26000000,15485.30000000,15400.00000000,15465.83000000,2524.22546300,38104
1604912400000,15393.51000000,15466.63000000,15375.40000000,15404.26000000,3289.14361900,47140
1604908800000,15303.27000000,15450.00000000,15140.00000000,15393.50000000,6128.23716800,84805
1604905200000,15375.04000000,15450.00000000,15282.35000000,15303.26000000,3067.98935600,48489
1604901600000,15465.57000000,15467.74000000,15349.90000000,15375.04000000,2226.59849000,44729
1604898000000,15382.23000000,15491.37000000,15329.82000000,15465.74000000,2181.99622300,35823
1604894400000,15434.08000000,15437.20000000,15359.00000000,15382.23000000,2486.77236300,34406
1604890800000,15467.33000000,15480.00000000,15374.26000000,15434.08000000,2258.01672200,32890
1604887200000,15509.34000000,15563.91000000,15437.00000000,15467.33000000,1806.22258800,28833
1604883600000,15549.63000000,15595.00000000,15475.00000000,15509.29000000,1789.89768700,33780
1604880000000,15475.10000000,15595.00000000,15401.66000000,15549.62000000,2553.88762200,43680
1604876400000,15500.01000000,15527.00000000,15414.00000000,15475.10000000,2466.31030800,36220
1604872800000,15327.05000000,15534.88000000,15325.02000000,15500.00000000,1947.66982800,45929
1604869200000,15375.29000000,15410.12000000,15250.00000000,15327.05000000,2058.08532400,36949
1604865600000,15339.48000000,15436.11000000,15332.45000000,15375.30000000,1966.90514700,37922
1604862000000,15528.00000000,15554.00000000,15239.08000000,15339.47000000,4459.77325500,61392
1604858400000,15574.19000000,15650.00000000,15455.00000000,15528.01000000,3741.54218200,53147
1604854800000,15388.00000000,15634.90000000,15380.00000000,15574.19000000,5827.93508800,75964
1604851200000,15353.49000000,15430.00000000,15300.00000000,15387.99000000,2382.67843600,39491
1604847600000,15343.83000000,15443.00000000,15314.94000000,15353.48000000,4185.72407500,58192
1604844000000,15204.80000000,15353.19000000,15180.00000000,15343.83000000,3024.54309500,45179
1604840400000,15242.07000000,15271.16000000,15106.01000000,15204.80000000,3043.99662600,47170
1604836800000,15171.11000000,15287.41000000,15171.11000000,15242.07000000,3335.85611100,47493
1604833200000,15161.51000000,15192.50000000,15109.00000000,15171.00000000,2625.87384900,35931
1604829600000,15026.95000000,15180.00000000,14992.38000000,15161.50000000,3405.51855100,46412
1604826000000,14970.86000000,15034.00000000,14932.18000000,15026.94000000,1681.58202900,27157
1604822400000,14931.71000000,14987.00000000,14848.00000000,14970.87000000,1863.16038100,32433
1604818800000,15003.58000000,15030.50000000,14906.16000000,14931.53000000,1653.98748100,28741
1604815200000,15048.67000000,15068.34000000,14968.58000000,15003.58000000,1335.07692600,25969
1604811600000,14985.62000000,15092.18000000,14951.00000000,15048.67000000,1386.13419300,21646
1604808000000,14957.42000000,15029.41000000,14928.85000000,14985.61000000,1671.58763800,27865
1604804400000,15016.17000000,15044.96000000,14954.86000000,14957.41000000,1908.55625300,25743
1604800800000,15046.89000000,15120.00000000,14977.28000000,15016.16000000,3172.99639800,41059
1604797200000,14912.74000000,15075.97000000,14832.65000000,15046.89000000,2856.65460200,42973
1604793600000,14818.30000000,14917.85000000,14703.88000000,14912.74000000,3545.03079800,57796
1604790000000,14800.01000000,14918.00000000,14788.00000000,14818.30000000,2857.51993800,49229
1604786400000,14822.58000000,14855.00000000,14662.16000000,14800.00000000,3303.88669800,86284
1604782800000,14852.27000000,14937.69000000,14746.80000000,14822.58000000,4768.11033500,93344
1604779200000,14643.52000000,14949.00000000,14344.22000000,14852.26000000,12190.56945000,160348
1604775600000,14927.96000000,15056.00000000,14560.00000000,14643.52000000,13115.97533800,150938
1604772000000,15223.79000000,15298.41000000,14707.00000000,14927.95000000,10901.69261300,119142
1604768400000,15360.28000000,15396.96000000,15200.09000000,15224.12000000,2773.05877500,49324
1604764800000,15338.47000000,15410.00000000,15100.00000000,15360.01000000,7032.94730000,91341
1604761200000,15297.77000000,15390.00000000,15170.00000000,15337.91000000,6356.36502000,85150
1604757600000,15505.08000000,15505.08000000,15267.00000000,15296.69000000,5534.99582500,81653
1604754000000,15509.17000000,15523.30000000,15390.00000000,15505.09000000,3128.49794000,53463
1604750400000,15515.95000000,15550.00000000,15495.00000000,15509.17000000,1850.28835000,37597
1604746800000,15551.78000000,15583.15000000,15467.94000000,15515.95000000,1956.84528800,35845
1604743200000,15483.65000000,15566.44000000,15425.63000000,15551.78000000,1826.34140500,32211
1604739600000,15498.24000000,15534.00000000,15441.00000000,15483.71000000,1857.88512600,35745
1604736000000,15444.33000000,15546.75000000,15388.03000000,15498.25000000,2248.01839500,42117
1604732400000,15528.03000000,15530.23000000,15415.00000000,15444.41000000,1783.35553600,31916
1604728800000,15554.75000000,15561.10000000,15480.00000000,15528.03000000,1192.70653300,25939
1604725200000,15513.16000000,15577.01000000,15452.00000000,15554.75000000,1464.55572300,31140
1604721600000,15545.20000000,15617.49000000,15456.84000000,15513.16000000,2210.83878800,35128
1604718000000,15569.55000000,15610.04000000,15489.97000000,15545.20000000,2187.25015500,44701
1604714400000,15684.39000000,15689.24000000,15520.36000000,15569.53000000,3761.06673700,61951
1604710800000,15607.73000000,15753.52000000,15569.28000000,15684.39000000,3735.58940800,66166
1604707200000,15579.93000000,15660.00000000,15544.58000000,15607.73000000,3392.84587700,56349
1604703600000,15596.11000000,15675.00000000,15521.58000000,15579.92000000,3104.96107900,54278
1604700000000,15533.23000000,15619.32000000,15465.78000000,15594.81000000,1980.07075500,64613
1604696400000,15484.28000000,15627.74000000,15457.17000000,15533.23000000,3570.87688900,53635
1604692800000,15436.00000000,15540.00000000,15166.00000000,15484.02000000,6426.17357000,84195
1604689200000,15459.85000000,15519.90000000,15400.11000000,15435.99000000,2191.23507800,32620
1604685600000,15466.73000000,15529.93000000,15415.48000000,15459.86000000,2869.71462200,39696
1604682000000,15496.66000000,15560.00000000,15459.48000000,15466.27000000,2296.82549700,39729
