Time,Open,high,low,close,volume,trades
1605148200000,458.69000000,459.82000000,458.07000000,459.44000000,4650.02786000,1715
1605147300000,457.26000000,458.90000000,457.00000000,458.70000000,4660.23033000,2461
1605146400000,459.04000000,459.09000000,457.00000000,457.27000000,6166.94993000,2765
1605145500000,457.27000000,459.28000000,457.19000000,459.07000000,6142.38890000,2885
1605144600000,458.81000000,458.96000000,456.93000000,457.29000000,8074.93880000,3199
1605143700000,457.91000000,459.18000000,457.54000000,458.78000000,5195.07542000,2621
1605142800000,458.07000000,458.38000000,456.70000000,457.91000000,7535.72381000,3257
1605141900000,457.24000000,458.89000000,457.20000000,458.11000000,10783.96845000,4548
1605141000000,457.08000000,457.84000000,455.38000000,457.24000000,13486.43060000,5437
1605140100000,455.42000000,457.91000000,453.54000000,457.08000000,25226.26979000,10141
1605139200000,463.09000000,464.17000000,451.20000000,455.36000000,61366.68840000,23758
1605138300000,462.88000000,464.15000000,462.19000000,463.09000000,5999.43544000,3648
1605137400000,464.60000000,464.68000000,462.66000000,462.87000000,6246.11408000,3954
1605136500000,464.71000000,464.96000000,462.97000000,464.60000000,6275.50416000,3485
1605135600000,465.94000000,465.95000000,462.55000000,464.74000000,9712.81022000,5382
1605134700000,465.35000000,466.30000000,463.84000000,465.94000000,6528.09976000,3826
1605133800000,466.43000000,467.71000000,465.35000000,465.36000000,4842.25728000,3664
1605132900000,467.00000000,468.27000000,466.42000000,466.42000000,5905.75417000,4581
1605132000000,466.50000000,467.04000000,465.69000000,467.01000000,5894.68339000,4490
1605131100000,464.89000000,466.50000000,464.12000000,466.50000000,5732.01481000,3449
1605130200000,464.43000000,465.60000000,464.39000000,464.93000000,3786.39303000,2364
1605129300000,464.20000000,465.28000000,461.81000000,464.43000000,10888.23668000,5410
1605128400000,465.64000000,466.00000000,464.09000000,464.21000000,6446.20904000,4045
1605127500000,463.83000000,465.95000000,463.74000000,465.64000000,9633.12660000,4711
1605126600000,462.34000000,464.30000000,460.11000000,463.85000000,18512.13904000,9281
1605125700000,464.09000000,466.58000000,462.12000000,462.34000000,15782.57454000,7002
1605124800000,468.49000000,468.74000000,462.52000000,464.09000000,22232.80238000,9699
1605123900000,470.41000000,470.47000000,467.66000000,468.46000000,5227.52763000,3919
1605123000000,469.03000000,470.55000000,466.68000000,470.42000000,12405.77339000,6696
1605122100000,471.47000000,471.47000000,468.92000000,468.98000000,6244.15915000,4262
1605121200000,470.41000000,472.13000000,470.38000000,471.49000000,8080.43169000,4616
1605120300000,474.57000000,476.25000000,469.59000000,470.42000000,28249.25006000,11238
1605119400000,471.64000000,475.00000000,471.56000000,474.58000000,26926.92020000,10580
1605118500000,470.13000000,471.70000000,470.12000000,471.64000000,6537.55050000,3354
1605117600000,469.54000000,471.60000000,468.70000000,470.12000000,16069.15661000,6096
1605116700000,470.70000000,471.90000000,468.10000000,469.54000000,20037.54498000,9509
1605115800000,470.27000000,471.22000000,469.80000000,470.70000000,13216.97544000,6359
1605114900000,470.52000000,471.40000000,469.52000000,470.31000000,12711.73607000,6548
1605114000000,470.16000000,471.50000000,469.24000000,470.50000000,13551.04864000,8403
1605113100000,469.20000000,470.75000000,468.00000000,470.16000000,20046.39636000,7206
1605112200000,471.91000000,474.00000000,468.50000000,469.25000000,38360.21889000,13721
1605111300000,463.78000000,472.25000000,463.65000000,471.91000000,55629.83021000,19518
1605110400000,462.00000000,464.76000000,461.99000000,463.78000000,18907.32127000,8405
1605109500000,461.54000000,462.35000000,460.90000000,461.99000000,6292.33748000,3264
1605108600000,461.84000000,462.90000000,461.38000000,461.55000000,7701.10159000,4119
1605107700000,461.76000000,462.42000000,461.19000000,461.79000000,7168.75345000,3495
1605106800000,462.36000000,462.40000000,460.93000000,461.76000000,5459.80297000,3491
1605105900000,461.64000000,462.43000000,461.21000000,462.33000000,7229.33059000,3691
1605105000000,461.32000000,461.97000000,459.79000000,461.64000000,6187.78816000,3185
1605104100000,460.52000000,461.32000000,459.84000000,461.31000000,5923.01468000,2791
1605103200000,459.29000000,461.48000000,458.42000000,460.59000000,8767.64238000,4459
1605102300000,459.55000000,460.54000000,458.61000000,459.28000000,10215.30239000,4162
1605101400000,461.03000000,461.37000000,459.03000000,459.56000000,8242.28079000,4370
1605100500000,461.52000000,462.28000000,460.98000000,461.01000000,7477.28755000,3122
1605099600000,461.35000000,463.33000000,460.40000000,461.54000000,9930.00160000,4720
1605098700000,461.34000000,462.23000000,460.40000000,461.34000000,6293.01874000,3036
1605097800000,461.43000000,462.05000000,460.77000000,461.34000000,5365.53523000,2641
1605096900000,460.12000000,462.12000000,459.49000000,461.43000000,7446.16927000,3782
1605096000000,460.00000000,460.42000000,458.24000000,460.10000000,9677.31734000,4707
1605095100000,461.49000000,461.58000000,459.25000000,460.00000000,13432.79027000,5565
1605094200000,461.90000000,464.00000000,461.23000000,461.48000000,12425.90024000,4889
1605093300000,461.88000000,463.08000000,461.29000000,461.82000000,10077.11562000,3856
1605092400000,464.01000000,464.07000000,461.51000000,461.87000000,9799.85185000,4695
1605091500000,460.65000000,464.20000000,460.61000000,464.00000000,10665.98909000,5269
1605090600000,461.71000000,462.45000000,460.30000000,460.64000000,8303.16494000,3896
1605089700000,461.00000000,461.71000000,459.92000000,461.71000000,8083.66143000,3407
1605088800000,458.61000000,461.85000000,458.42000000,461.00000000,11258.10137000,5558
1605087900000,456.46000000,458.70000000,455.52000000,458.60000000,16469.96116000,8624
1605087000000,459.81000000,459.91000000,455.31000000,456.49000000,19012.03455000,8986
1605086100000,461.25000000,462.00000000,459.63000000,459.86000000,9747.58895000,5434
1605085200000,459.16000000,461.57000000,458.34000000,461.25000000,9484.60282000,5046
1605084300000,459.22000000,460.30000000,458.25000000,459.16000000,10583.19351000,5327
1605083400000,460.35000000,461.81000000,459.03000000,459.16000000,9280.30296000,4908
1605082500000,463.16000000,463.50000000,460.26000000,460.36000000,7876.80112000,4627
1605081600000,462.15000000,463.34000000,461.53000000,463.12000000,9047.77917000,4079
1605080700000,461.37000000,462.50000000,460.74000000,462.14000000,5830.85692000,3378
1605079800000,461.56000000,462.82000000,461.14000000,461.36000000,7157.30051000,4974
1605078900000,460.84000000,462.12000000,460.69000000,461.56000000,8264.40856000,3656
1605078000000,459.89000000,461.28000000,458.92000000,460.84000000,4727.97749000,2992
1605077100000,459.99000000,460.74000000,459.31000000,459.92000000,4566.89796000,2755
1605076200000,461.53000000,462.07000000,459.61000000,459.99000000,5987.06127000,3152
1605075300000,460.64000000,462.30000000,460.09000000,461.49000000,6610.54808000,3646
1605074400000,459.94000000,461.09000000,459.92000000,460.61000000,5384.26199000,3324
1605073500000,459.25000000,461.16000000,459.25000000,459.94000000,7163.49323000,3867
1605072600000,459.64000000,459.69000000,457.29000000,459.17000000,12431.23639000,6130
1605071700000,460.55000000,461.12000000,459.49000000,459.64000000,5425.95540000,3126
1605070800000,460.32000000,460.86000000,458.86000000,460.55000000,9957.11316000,4369
1605069900000,459.31000000,460.60000000,458.95000000,460.26000000,7900.83927000,5210
1605069000000,461.41000000,461.48000000,458.25000000,459.31000000,19270.82266000,8807
1605068100000,462.38000000,462.89000000,460.31000000,461.41000000,12181.47741000,7578
1605067200000,463.12000000,466.00000000,462.02000000,462.39000000,19343.37152000,9343
1605066300000,463.39000000,464.23000000,462.65000000,463.12000000,9159.40287000,4774
1605065400000,463.16000000,464.00000000,462.38000000,463.40000000,10398.56462000,5670
1605064500000,462.44000000,463.38000000,461.73000000,463.16000000,10093.19190000,6064
1605063600000,462.00000000,463.35000000,460.73000000,462.44000000,14218.34995000,8039
1605062700000,461.98000000,462.60000000,460.15000000,462.00000000,13004.42010000,7192
1605061800000,463.18000000,463.48000000,459.79000000,462.00000000,24076.66395000,10593
1605060900000,463.41000000,464.60000000,463.00000000,463.19000000,11200.36295000,4600
1605060000000,463.42000000,463.91000000,462.20000000,463.42000000,10548.35245000,4069
1605059100000,463.88000000,464.85000000,462.17000000,463.42000000,12406.41853000,5657
1605058200000,463.34000000,463.90000000,462.37000000,463.89000000,12520.41976000,5067
1605057300000,464.52000000,465.24000000,462.00000000,463.30000000,22061.91555000,8870
1605056400000,463.45000000,466.41000000,461.26000000,464.52000000,38422.73034000,12756
1605055500000,462.10000000,464.79000000,462.05000000,463.38000000,28474.16529000,9677
1605054600000,458.42000000,463.68000000,458.31000000,462.12000000,63373.49441000,22271
1605053700000,450.99000000,458.50000000,450.99000000,458.43000000,35135.53669000,12767
1605052800000,450.34000000,451.59000000,449.28000000,450.98000000,6939.71247000,3365
1605051900000,451.20000000,451.20000000,448.93000000,450.34000000,8919.71708000,3993
1605051000000,451.91000000,452.49000000,450.80000000,451.23000000,7776.85535000,3471
1605050100000,450.95000000,452.06000000,450.79000000,451.92000000,6938.63227000,2757
1605049200000,453.68000000,454.60000000,450.50000000,450.94000000,12633.52522000,6194
1605048300000,452.96000000,453.72000000,452.19000000,453.72000000,7226.11852000,4082
1605047400000,450.23000000,453.00000000,450.23000000,452.96000000,5232.15748000,2558
1605046500000,451.00000000,451.18000000,450.07000000,450.23000000,2460.04749000,1978
1605045600000,451.50000000,452.82000000,450.52000000,451.00000000,5212.41669000,2962
1605044700000,451.62000000,452.36000000,450.50000000,451.53000000,4858.12539000,2506
1605043800000,452.12000000,452.52000000,450.39000000,451.63000000,6377.92916000,2699
1605042900000,451.48000000,452.14000000,451.17000000,452.11000000,5280.90709000,2289
1605042000000,449.62000000,451.57000000,449.29000000,451.48000000,6510.68218000,2508
1605041100000,450.50000000,451.25000000,448.98000000,449.59000000,6284.61478000,3110
1605040200000,451.36000000,452.21000000,450.47000000,450.50000000,10194.97734000,4232
1605039300000,448.78000000,452.00000000,448.61000000,451.37000000,16688.11984000,6401
1605038400000,448.07000000,449.36000000,447.60000000,448.78000000,5499.54491000,2931
1605037500000,447.58000000,449.24000000,447.01000000,448.08000000,8743.47150000,3481
1605036600000,445.92000000,447.98000000,445.92000000,447.59000000,6871.76415000,3028
1605035700000,445.59000000,446.65000000,445.22000000,445.92000000,6267.12097000,2545
1605034800000,445.94000000,446.70000000,444.83000000,445.55000000,10654.43718000,3295
1605033900000,445.27000000,446.48000000,444.60000000,445.94000000,6962.70602000,2784
1605033000000,444.93000000,445.25000000,443.72000000,445.25000000,5832.49424000,3060
1605032100000,445.21000000,445.86000000,444.62000000,444.94000000,6168.59339000,2924
1605031200000,446.76000000,446.76000000,445.00000000,445.15000000,5290.87701000,2993
1605030300000,445.65000000,447.15000000,445.46000000,446.78000000,6509.86371000,2859
1605029400000,445.75000000,445.78000000,444.80000000,445.65000000,4180.02340000,1980
1605028500000,445.92000000,446.23000000,444.90000000,445.76000000,13490.57834000,3759
1605027600000,445.17000000,446.36000000,444.85000000,445.90000000,5526.42899000,2220
1605026700000,444.66000000,446.53000000,444.66000000,445.18000000,6090.04354000,2725
1605025800000,445.66000000,446.92000000,444.61000000,444.66000000,8795.13425000,3641
1605024900000,445.36000000,446.18000000,444.62000000,445.64000000,6839.03651000,3086
1605024000000,443.08000000,445.90000000,441.86000000,445.35000000,15827.19875000,7327
1605023100000,441.59000000,443.61000000,441.14000000,443.12000000,9756.48189000,4359
1605022200000,441.20000000,442.83000000,440.30000000,441.50000000,12886.43735000,5755
1605021300000,443.74000000,444.01000000,440.93000000,441.20000000,14965.38892000,6470
1605020400000,443.67000000,444.88000000,442.10000000,443.74000000,9639.29600000,4383
1605019500000,443.77000000,444.74000000,442.11000000,443.77000000,16689.41531000,6533
1605018600000,444.94000000,446.98000000,443.64000000,443.86000000,10701.58666000,4476
1605017700000,446.63000000,446.73000000,442.87000000,444.93000000,13869.55718000,4974
1605016800000,447.33000000,447.82000000,445.45000000,446.70000000,7401.05792000,3060
1605015900000,444.80000000,447.86000000,444.80000000,447.34000000,9235.02138000,3486
1605015000000,445.56000000,446.62000000,444.20000000,444.75000000,6907.32750000,2983
1605014100000,445.20000000,446.37000000,444.00000000,445.58000000,9674.55971000,3995
1605013200000,447.77000000,448.21000000,444.88000000,445.20000000,11277.92871000,5602
1605012300000,446.83000000,447.98000000,446.49000000,447.76000000,5989.51292000,2721
1605011400000,448.64000000,449.30000000,446.00000000,446.83000000,10374.85749000,4468
1605010500000,449.28000000,450.20000000,448.41000000,448.65000000,9438.22663000,3587
1605009600000,447.48000000,450.47000000,445.63000000,449.28000000,12715.81655000,5442
1605008700000,446.31000000,447.65000000,446.14000000,447.48000000,5785.52269000,2977
1605007800000,446.17000000,447.57000000,445.74000000,446.32000000,8488.19755000,3975
1605006900000,446.98000000,447.74000000,444.55000000,446.17000000,15607.75321000,6994
1605006000000,448.48000000,450.09000000,445.86000000,446.98000000,17419.61515000,7564
1605005100000,450.45000000,451.54000000,447.38000000,448.48000000,19379.98321000,7958
1605004200000,451.52000000,452.30000000,450.46000000,450.46000000,9983.35293000,3960
1605003300000,450.68000000,452.06000000,450.68000000,451.51000000,6748.00752000,3241
1605002400000,452.33000000,452.84000000,449.75000000,450.64000000,10738.37387000,4770
1605001500000,452.00000000,453.24000000,452.00000000,452.34000000,7104.09980000,3329
1605000600000,452.77000000,453.31000000,451.00000000,451.98000000,9761.70088000,4475
1604999700000,453.29000000,455.00000000,452.15000000,452.77000000,12585.40789000,5692
1604998800000,450.88000000,453.33000000,450.87000000,453.33000000,7178.48646000,3671
1604997900000,453.11000000,453.62000000,449.66000000,450.88000000,14190.60654000,5573
1604997000000,452.18000000,453.97000000,451.13000000,453.08000000,15236.81198000,5092
1604996100000,453.26000000,453.54000000,451.14000000,452.15000000,9656.69664000,4408
1604995200000,449.04000000,453.96000000,449.04000000,453.24000000,18982.17246000,8952
1604994300000,449.82000000,449.93000000,448.74000000,449.04000000,6168.74795000,2917
1604993400000,447.41000000,450.00000000,446.36000000,449.82000000,7711.56083000,4314
1604992500000,448.59000000,448.90000000,446.08000000,447.36000000,6250.64977000,3536
1604991600000,447.50000000,449.16000000,447.50000000,448.60000000,5577.45319000,2896
1604990700000,446.62000000,448.07000000,445.64000000,447.50000000,6951.01293000,3268
1604989800000,447.34000000,448.96000000,445.87000000,446.62000000,10840.32124000,4786
1604988900000,449.58000000,450.51000000,446.74000000,447.32000000,11285.45799000,5367
1604988000000,449.37000000,450.76000000,449.06000000,449.58000000,6831.21802000,3404
1604987100000,449.36000000,450.08000000,448.08000000,449.36000000,6262.29762000,3372
1604986200000,451.87000000,452.10000000,449.08000000,449.36000000,10394.72712000,4838
1604985300000,451.00000000,452.92000000,450.11000000,451.86000000,7147.55933000,3232
1604984400000,451.31000000,452.99000000,450.51000000,451.00000000,10291.88640000,4549
1604983500000,449.11000000,452.07000000,448.93000000,451.30000000,13567.28323000,5645
1604982600000,447.64000000,450.00000000,447.62000000,449.10000000,8456.50670000,3311
1604981700000,448.38000000,449.00000000,447.38000000,447.59000000,4267.00522000,2343
1604980800000,449.28000000,450.00000000,448.21000000,448.38000000,7635.60629000,3683
1604979900000,446.62000000,450.00000000,446.61000000,449.29000000,11015.21960000,4428
1604979000000,446.03000000,447.30000000,445.00000000,446.63000000,8268.11083000,3986
1604978100000,444.49000000,446.04000000,443.91000000,446.04000000,6534.70669000,2952
1604977200000,445.42000000,446.13000000,444.11000000,444.51000000,8335.31871000,3473
1604976300000,446.63000000,446.69000000,445.26000000,445.39000000,7194.95787000,2382
1604975400000,446.65000000,447.23000000,445.61000000,446.61000000,4569.56530000,2285
1604974500000,446.70000000,447.25000000,446.29000000,446.65000000,3963.79076000,1998
1604973600000,447.38000000,448.50000000,446.44000000,446.71000000,6841.10615000,3002
1604972700000,447.69000000,447.95000000,446.88000000,447.38000000,6666.02262000,2683
1604971800000,448.12000000,448.69000000,446.40000000,447.68000000,6250.39399000,2717
1604970900000,446.92000000,448.63000000,446.64000000,448.12000000,8420.16467000,3995
1604970000000,445.10000000,447.02000000,443.88000000,446.91000000,9820.84976000,4621
1604969100000,443.20000000,445.12000000,443.07000000,445.07000000,7665.30117000,4009
1604968200000,439.92000000,443.75000000,439.75000000,443.20000000,10235.15766000,5219
1604967300000,440.12000000,441.47000000,438.70000000,439.92000000,15424.99075000,6984
1604966400000,444.32000000,444.98000000,440.12000000,440.18000000,13514.05708000,6730
1604965500000,444.15000000,445.64000000,443.75000000,444.32000000,8301.29253000,4360
1604964600000,443.75000000,444.53000000,442.77000000,444.16000000,6763.87142000,3457
1604963700000,444.01000000,444.34000000,442.41000000,443.75000000,7147.44957000,4063
1604962800000,442.63000000,444.06000000,442.24000000,444.03000000,4406.17260000,3401
1604961900000,443.32000000,444.84000000,441.32000000,442.57000000,7032.44989000,4600
1604961000000,446.58000000,446.63000000,442.62000000,443.32000000,9778.17938000,5564
1604960100000,446.50000000,447.45000000,446.12000000,446.58000000,2015.87071000,1666
1604959200000,447.34000000,447.34000000,445.71000000,446.54000000,5089.72938000,2757
1604958300000,447.26000000,447.88000000,446.92000000,447.36000000,5175.50367000,2497
1604957400000,448.36000000,449.85000000,447.08000000,447.25000000,8944.97523000,3925
1604956500000,448.37000000,450.39000000,448.16000000,448.36000000,9359.98434000,4737
1604955600000,446.89000000,448.52000000,446.46000000,448.33000000,6441.38552000,3544
1604954700000,449.38000000,449.56000000,446.23000000,446.83000000,7944.36766000,4539
1604953800000,447.30000000,449.56000000,447.30000000,449.38000000,13720.05568000,4940
1604952900000,446.47000000,447.30000000,445.62000000,447.30000000,5549.62764000,2480
1604952000000,446.55000000,447.15000000,445.78000000,446.50000000,6219.93995000,2702
1604951100000,445.82000000,446.68000000,445.27000000,446.50000000,4499.69988000,2135
1604950200000,446.84000000,447.50000000,445.00000000,445.79000000,9115.00601000,3452
1604949300000,445.75000000,447.24000000,445.52000000,446.87000000,6032.59178000,3053
1604948400000,445.76000000,446.20000000,444.41000000,445.75000000,7081.66069000,3158
1604947500000,445.79000000,446.34000000,444.08000000,445.76000000,9067.04292000,3702
1604946600000,443.98000000,445.84000000,443.72000000,445.78000000,4468.38330000,2095
1604945700000,444.33000000,445.50000000,443.29000000,444.00000000,5684.17837000,2440
1604944800000,444.88000000,445.02000000,442.38000000,444.34000000,7439.48601000,3620
1604943900000,444.23000000,445.54000000,443.33000000,444.83000000,9321.19063000,3649
1604943000000,442.34000000,444.80000000,442.07000000,444.22000000,8686.38492000,3718
1604942100000,443.29000000,443.97000000,442.09000000,442.38000000,7701.68341000,3839
1604941200000,442.43000000,444.35000000,441.60000000,443.29000000,11741.19009000,5574
1604940300000,440.33000000,442.88000000,439.57000000,442.44000000,14102.68865000,6525
1604939400000,437.21000000,441.09000000,436.87000000,440.35000000,16570.78339000,6146
1604938500000,435.29000000,439.23000000,433.09000000,437.22000000,19885.70978000,8316
1604937600000,437.71000000,439.65000000,434.72000000,435.30000000,37818.10622000,13391
1604936700000,439.37000000,439.87000000,437.00000000,437.71000000,27402.00353000,10358
1604935800000,443.01000000,443.51000000,438.16000000,439.36000000,18112.50921000,7276
1604934900000,439.04000000,443.50000000,438.04000000,443.00000000,19365.69227000,9005
1604934000000,443.89000000,445.26000000,438.08000000,439.03000000,49749.36768000,18314
1604933100000,448.24000000,448.79000000,442.50000000,443.83000000,19489.41726000,8208
1604932200000,445.94000000,448.95000000,445.76000000,448.25000000,14229.92763000,6128
1604931300000,446.05000000,447.54000000,443.85000000,445.94000000,12996.35166000,6578
1604930400000,446.63000000,448.91000000,445.71000000,446.04000000,12973.02429000,6295
1604929500000,446.39000000,447.29000000,442.24000000,446.64000000,27804.00179000,11941
1604928600000,446.56000000,449.28000000,445.95000000,446.39000000,13333.63685000,7299
1604927700000,446.95000000,450.56000000,443.40000000,446.55000000,30590.26981000,13104
1604926800000,453.39000000,453.94000000,446.50000000,446.87000000,27341.02616000,11922
1604925900000,454.06000000,454.82000000,451.72000000,453.36000000,23416.76799000,7932
1604925000000,453.04000000,454.82000000,452.71000000,454.08000000,11907.10458000,5562
1604924100000,451.15000000,454.69000000,450.89000000,453.04000000,22651.90673000,9628
1604923200000,458.22000000,458.95000000,450.08000000,451.15000000,38818.29631000,14743
1604922300000,452.51000000,459.10000000,452.51000000,458.25000000,31920.49954000,12529
1604921400000,452.74000000,453.32000000,451.84000000,452.50000000,5329.85662000,2492
