Time,Open,high,low,close,volume,trades
1605146400000,459.04000000,459.82000000,457.00000000,458.30000000,17139.62543000,7946
1605142800000,458.07000000,459.28000000,456.70000000,459.07000000,26948.12693000,11962
1605139200000,463.09000000,464.17000000,451.20000000,458.11000000,110863.35724000,43884
1605135600000,465.94000000,465.95000000,462.19000000,463.09000000,28233.86390000,16469
1605132000000,466.50000000,468.27000000,463.84000000,465.94000000,23170.79460000,16561
1605128400000,465.64000000,466.50000000,461.81000000,466.50000000,26852.85356000,15268
1605124800000,468.49000000,468.74000000,460.11000000,465.64000000,66160.64256000,30693
1605121200000,470.41000000,472.13000000,466.68000000,468.46000000,31957.89186000,19493
1605117600000,469.54000000,476.25000000,468.70000000,470.42000000,77782.87737000,31268
1605114000000,470.16000000,471.90000000,468.10000000,469.54000000,59517.30513000,30819
1605110400000,462.00000000,474.00000000,461.99000000,470.16000000,132943.76673000,48850
1605106800000,462.36000000,462.90000000,460.90000000,461.99000000,26621.99549000,14369
1605103200000,459.29000000,462.43000000,458.42000000,462.33000000,28107.77581000,14126
1605099600000,461.35000000,463.33000000,458.61000000,459.28000000,35864.87233000,16374
1605096000000,460.00000000,462.23000000,458.24000000,461.34000000,28782.04058000,14166
1605092400000,464.01000000,464.07000000,459.25000000,460.00000000,45735.65798000,19005
1605088800000,458.61000000,464.20000000,458.42000000,464.00000000,38310.91683000,18130
1605085200000,459.16000000,462.00000000,455.31000000,458.60000000,54714.18748000,28090
1605081600000,462.15000000,463.50000000,458.25000000,459.16000000,36788.07676000,18941
1605078000000,459.89000000,462.82000000,458.92000000,462.14000000,25980.54348000,15000
1605074400000,459.94000000,462.30000000,459.31000000,459.92000000,22548.76930000,12877
1605070800000,460.32000000,461.16000000,457.29000000,459.94000000,34977.79818000,17492
1605067200000,463.12000000,466.00000000,458.25000000,460.26000000,58696.51086000,30938
1605063600000,462.00000000,464.23000000,460.73000000,463.12000000,43869.50934000,24547
1605060000000,463.42000000,464.60000000,459.79000000,462.00000000,58829.79945000,26454
1605056400000,463.45000000,466.41000000,461.26000000,463.42000000,85411.48418000,32350
1605052800000,450.34000000,464.79000000,449.28000000,463.38000000,133922.90886000,48080
1605049200000,453.68000000,454.60000000,448.93000000,450.34000000,36268.72992000,16415
1605045600000,451.50000000,453.72000000,450.07000000,453.72000000,20130.74018000,11580
1605042000000,449.62000000,452.52000000,449.29000000,451.53000000,23027.64382000,10002
1605038400000,448.07000000,452.21000000,447.60000000,449.59000000,38667.25687000,16674
1605034800000,445.94000000,449.24000000,444.83000000,448.08000000,32536.79380000,12349
1605031200000,446.76000000,446.76000000,443.72000000,445.94000000,24254.67066000,11761
1605027600000,445.17000000,447.15000000,444.80000000,446.78000000,29706.89444000,10818
1605024000000,443.08000000,446.92000000,441.86000000,445.18000000,37551.41305000,16779
1605020400000,443.67000000,444.88000000,440.30000000,443.12000000,47247.60416000,20967
1605016800000,447.33000000,447.82000000,442.11000000,443.77000000,48661.61707000,19043
1605013200000,447.77000000,448.21000000,444.00000000,447.34000000,37094.83730000,16066
1605009600000,447.48000000,450.47000000,445.63000000,447.76000000,38518.41359000,16218
1605006000000,448.48000000,450.09000000,444.55000000,447.48000000,47301.08860000,21510
1605002400000,452.33000000,452.84000000,447.38000000,448.48000000,46849.71753000,19929
1604998800000,450.88000000,455.00000000,450.87000000,452.34000000,36629.69503000,17167
1604995200000,449.04000000,453.97000000,449.04000000,450.88000000,58066.28762000,24025
1604991600000,447.50000000,450.00000000,446.08000000,449.04000000,25708.41174000,13663
1604988000000,449.37000000,450.76000000,445.64000000,447.50000000,35908.01018000,16825
1604984400000,451.31000000,452.99000000,448.08000000,449.36000000,34096.47047000,15991
1604980800000,449.28000000,452.07000000,447.38000000,451.30000000,33926.40144000,14982
1604977200000,445.42000000,450.00000000,443.91000000,449.29000000,34153.35583000,14839
1604973600000,447.38000000,448.50000000,445.26000000,445.39000000,22569.42008000,9667
1604970000000,445.10000000,448.69000000,443.88000000,447.38000000,31157.43104000,14016
1604966400000,444.32000000,445.12000000,438.70000000,445.07000000,46839.50666000,22942
1604962800000,442.63000000,445.64000000,442.24000000,444.32000000,26618.78612000,15281
1604959200000,447.34000000,447.45000000,441.32000000,442.57000000,23916.22936000,14587
1604955600000,446.89000000,450.39000000,446.46000000,447.36000000,29921.84876000,14703
1604952000000,446.55000000,449.56000000,445.62000000,446.83000000,33433.99093000,14661
1604948400000,445.76000000,447.50000000,444.41000000,446.50000000,26728.95836000,11798
1604944800000,444.88000000,446.34000000,442.38000000,445.76000000,26659.09060000,11857
1604941200000,442.43000000,445.54000000,441.60000000,444.83000000,37450.44905000,16780
1604937600000,437.71000000,442.88000000,433.09000000,442.44000000,88377.28804000,34378
1604934000000,443.89000000,445.26000000,437.00000000,437.71000000,114629.57269000,44953
1604930400000,446.63000000,448.95000000,442.50000000,443.83000000,59688.72084000,27209
1604926800000,453.39000000,453.94000000,442.24000000,446.64000000,99068.93461000,44266
1604923200000,458.22000000,458.95000000,450.08000000,453.36000000,96794.07561000,37865
1604919600000,452.40000000,459.10000000,451.51000000,458.25000000,54193.37436000,22286
1604916000000,450.15000000,453.58000000,450.05000000,452.36000000,30272.82126000,15322
1604912400000,447.89000000,451.49000000,447.21000000,450.14000000,36847.91916000,15739
1604908800000,444.80000000,448.50000000,440.50000000,447.96000000,69391.35767000,26458
1604905200000,449.50000000,451.18000000,443.67000000,444.85000000,43470.28930000,18401
1604901600000,453.19000000,453.20000000,449.00000000,449.52000000,24761.05170000,9776
1604898000000,450.84000000,453.61000000,448.15000000,453.22000000,26110.59660000,11242
1604894400000,451.65000000,452.60000000,448.77000000,450.85000000,39703.41543000,14695
1604890800000,452.75000000,453.88000000,450.79000000,451.64000000,26010.11668000,10197
1604887200000,454.91000000,455.79000000,452.04000000,452.77000000,24476.19291000,11659
1604883600000,456.69000000,457.49000000,453.88000000,454.92000000,26996.52632000,10547
1604880000000,454.29000000,457.86000000,450.89000000,456.70000000,33691.64005000,15287
1604876400000,454.90000000,457.41000000,453.32000000,454.30000000,29434.44678000,12833
1604872800000,449.71000000,455.14000000,449.49000000,454.90000000,19190.28197000,12802
1604869200000,451.36000000,452.66000000,446.27000000,449.75000000,28457.58193000,14253
1604865600000,452.10000000,453.70000000,448.57000000,451.36000000,25365.45198000,12702
1604862000000,456.61000000,457.69000000,447.64000000,452.11000000,47089.56210000,21590
1604858400000,457.29000000,459.55000000,453.17000000,456.62000000,43578.21949000,18420
1604854800000,453.06000000,460.10000000,452.00000000,457.29000000,60592.91731000,22963
1604851200000,454.11000000,455.45000000,450.46000000,453.04000000,40175.83346000,16077
1604847600000,454.00000000,456.77000000,452.64000000,454.11000000,61236.56025000,24571
1604844000000,444.57000000,454.00000000,443.00000000,454.00000000,59353.48040000,21676
1604840400000,445.31000000,446.95000000,441.74000000,444.61000000,33144.55114000,13448
1604836800000,445.24000000,447.41000000,443.00000000,445.32000000,49259.36786000,16781
1604833200000,444.79000000,445.89000000,442.61000000,445.24000000,27429.43875000,11552
1604829600000,440.88000000,446.42000000,439.54000000,444.80000000,52361.12704000,18656
1604826000000,437.61000000,440.93000000,436.79000000,440.88000000,20357.71034000,8390
1604822400000,435.43000000,438.50000000,435.43000000,437.60000000,20573.46058000,8999
1604818800000,438.28000000,439.00000000,434.58000000,435.45000000,27827.27277000,13475
1604815200000,440.66000000,442.17000000,436.63000000,438.28000000,24446.64790000,11645
1604811600000,438.09000000,441.13000000,436.38000000,440.60000000,17362.14871000,9534
1604808000000,437.99000000,440.05000000,435.64000000,438.08000000,23821.31950000,12489
1604804400000,440.75000000,441.00000000,437.95000000,438.00000000,23604.60105000,9287
1604800800000,441.98000000,443.30000000,439.36000000,440.71000000,31314.72685000,11639
1604797200000,438.08000000,443.00000000,435.74000000,441.98000000,36147.06048000,14724
1604793600000,435.20000000,438.55000000,431.99000000,438.04000000,38784.69977000,15835
1604790000000,436.41000000,439.60000000,434.60000000,435.21000000,31435.11929000,13273
1604786400000,435.48000000,437.41000000,430.60000000,436.44000000,25051.67074000,15583
1604782800000,437.50000000,438.01000000,431.63000000,435.48000000,44208.99444000,19057
1604779200000,431.04000000,438.37000000,426.00000000,437.50000000,106187.53053000,41251
1604775600000,435.40000000,438.47000000,424.14000000,431.05000000,154648.78299000,61133
1604772000000,446.72000000,449.18000000,426.00000000,435.38000000,133648.61794000,54059
1604768400000,453.39000000,454.29000000,446.41000000,446.74000000,50550.11496000,22028
1604764800000,447.88000000,454.29000000,440.00000000,453.38000000,100218.44862000,43271
1604761200000,446.63000000,451.00000000,438.20000000,447.88000000,143474.88922000,52983
1604757600000,463.61000000,463.80000000,445.24000000,446.60000000,139192.94043000,48457
1604754000000,461.54000000,464.48000000,456.39000000,463.65000000,64745.84540000,26781
1604750400000,462.66000000,465.16000000,461.11000000,461.51000000,49918.01245000,20953
1604746800000,461.79000000,464.27000000,459.84000000,462.67000000,41635.22637000,16298
1604743200000,461.79000000,462.72000000,458.47000000,461.78000000,30630.74763000,13161
1604739600000,461.53000000,462.97000000,458.94000000,461.80000000,41160.51725000,19515
1604736000000,456.31000000,462.86000000,452.41000000,461.53000000,74388.08086000,32681
1604732400000,458.26000000,459.17000000,455.95000000,456.31000000,27079.72738000,11296
1604728800000,459.78000000,460.00000000,456.00000000,458.24000000,34955.37932000,13382
1604725200000,458.07000000,461.40000000,456.00000000,459.78000000,37642.46723000,14273
1604721600000,458.81000000,461.29000000,456.35000000,458.04000000,34601.47825000,13516
1604718000000,459.32000000,462.88000000,455.37000000,458.80000000,47099.78899000,18852
1604714400000,465.25000000,465.74000000,457.56000000,459.29000000,70233.91736000,30132
1604710800000,463.17000000,468.28000000,461.37000000,465.27000000,76303.51068000,35003
1604707200000,455.91000000,464.99000000,454.80000000,463.17000000,94404.78777000,37920
1604703600000,455.07000000,458.27000000,453.97000000,455.91000000,59935.98016000,26997
1604700000000,445.92000000,457.12000000,444.11000000,455.15000000,71591.29812000,37300
1604696400000,443.24000000,449.50000000,442.77000000,445.99000000,63303.65962000,25813
1604692800000,441.27000000,443.22000000,436.93000000,443.21000000,46663.19177000,18747
1604689200000,442.32000000,444.62000000,440.50000000,441.27000000,27043.84460000,11113
1604685600000,440.96000000,443.71000000,440.42000000,442.33000000,31845.74118000,13560
1604682000000,442.57000000,444.90000000,440.30000000,440.91000000,29766.46825000,13352
1604678400000,435.23000000,445.42000000,435.09000000,442.58000000,67273.37408000,28934
1604674800000,440.54000000,441.35000000,430.14000000,435.23000000,55182.29105000,21773
1604671200000,445.29000000,445.65000000,435.56000000,440.47000000,89233.62743000,31107
1604667600000,440.32000000,446.37000000,440.25000000,445.26000000,73147.27560000,27847
1604664000000,443.39000000,443.54000000,437.63000000,440.42000000,60726.98295000,27042
1604660400000,443.45000000,444.68000000,439.51000000,443.38000000,69952.27515000,29575
1604656800000,432.29000000,446.58000000,432.20000000,443.42000000,134916.22697000,51522
1604653200000,430.29000000,434.23000000,426.00000000,432.26000000,76517.56494000,30727
1604649600000,435.93000000,435.93000000,428.86000000,430.29000000,63805.85661000,31866
1604646000000,433.32000000,436.18000000,432.41000000,435.97000000,44151.25700000,25301
1604642400000,431.11000000,434.40000000,430.70000000,433.32000000,49463.04143000,23938
1604638800000,429.71000000,434.30000000,428.45000000,431.10000000,57148.60041000,19427
1604635200000,426.69000000,431.54000000,426.59000000,429.72000000,44410.97351000,16117
1604631600000,433.62000000,434.61000000,425.73000000,426.68000000,83477.90458000,29022
1604628000000,435.48000000,441.61000000,431.10000000,433.63000000,131875.16891000,41151
1604624400000,425.94000000,437.54000000,423.36000000,435.48000000,140273.92055000,44368
1604620800000,416.73000000,427.66000000,414.76000000,425.94000000,110734.43539000,39906
1604617200000,417.90000000,420.40000000,413.60000000,416.69000000,97316.41159000,32194
1604613600000,413.60000000,417.95000000,412.44000000,417.89000000,46138.68937000,18911
1604610000000,413.87000000,415.25000000,412.74000000,413.59000000,29518.54941000,11669
1604606400000,413.39000000,414.31000000,411.63000000,413.90000000,28263.26833000,11162
1604602800000,410.41000000,413.81000000,409.39000000,413.40000000,26942.02490000,11328
1604599200000,410.66000000,411.48000000,408.97000000,410.40000000,39006.12697000,14179
1604595600000,412.99000000,414.37000000,406.61000000,410.66000000,81048.03063000,29507
1604592000000,414.18000000,418.00000000,412.34000000,412.99000000,100906.99774000,35006
1604588400000,414.96000000,415.35000000,410.90000000,414.18000000,88853.89512000,28991
1604584800000,405.36000000,415.00000000,404.61000000,414.92000000,140946.39272000,47694
1604581200000,402.30000000,410.75000000,400.81000000,405.35000000,144403.62957000,49318
1604577600000,403.40000000,404.30000000,400.00000000,402.29000000,63666.81755000,21944
1604574000000,406.58000000,406.80000000,399.00000000,403.40000000,65354.01548000,25623
1604570400000,398.07000000,406.63000000,397.56000000,406.51000000,59617.82058000,20518
1604566800000,399.51000000,400.16000000,396.50000000,398.07000000,33602.77949000,12378
1604563200000,402.83000000,404.79000000,396.14000000,399.51000000,78434.50006000,25656
1604559600000,401.37000000,404.50000000,400.50000000,402.83000000,56367.70322000,16248
1604556000000,403.12000000,403.79000000,400.33000000,401.37000000,42408.08566000,13197
1604552400000,403.06000000,404.67000000,401.69000000,403.12000000,36609.12801000,13346
1604548800000,404.64000000,405.81000000,402.66000000,403.08000000,38062.79467000,11847
1604545200000,404.83000000,406.24000000,404.10000000,404.62000000,33947.35387000,12207
1604541600000,403.83000000,406.88000000,401.65000000,404.84000000,73315.82458000,23366
1604538000000,401.57000000,406.04000000,401.25000000,403.81000000,33873.01180000,12626
1604534400000,402.50000000,405.49000000,400.39000000,401.57000000,36535.92210000,14659
1604530800000,402.08000000,402.77000000,399.18000000,402.49000000,28126.17815000,13147
1604527200000,400.99000000,404.81000000,400.68000000,402.07000000,28203.48063000,14385
1604523600000,401.20000000,403.15000000,400.10000000,400.94000000,26940.10366000,11126
1604520000000,402.50000000,404.23000000,397.72000000,401.21000000,60280.83409000,20377
1604516400000,401.07000000,403.88000000,401.00000000,402.46000000,31413.74115000,11393
1604512800000,400.17000000,402.86000000,399.75000000,401.06000000,66626.35726000,23241
1604509200000,401.20000000,408.39000000,400.00000000,400.17000000,174607.62815000,58060
1604505600000,383.75000000,402.00000000,383.06000000,401.25000000,243763.69598000,68863
1604502000000,381.69000000,384.00000000,381.48000000,383.74000000,25141.95474000,10251
1604498400000,382.89000000,383.15000000,379.11000000,381.69000000,34493.32066000,13326
1604494800000,382.85000000,384.60000000,381.64000000,382.89000000,24470.34677000,9943
1604491200000,381.16000000,383.55000000,380.59000000,382.83000000,24072.88244000,7932
1604487600000,381.23000000,382.50000000,380.06000000,381.09000000,16236.54902000,7245
1604484000000,380.72000000,383.85000000,379.82000000,381.24000000,22123.37522000,9795
1604480400000,380.42000000,382.53000000,380.16000000,380.76000000,18625.73697000,7972
1604476800000,378.25000000,381.28000000,376.89000000,380.38000000,32170.35137000,12945
1604473200000,384.32000000,384.52000000,376.47000000,378.27000000,60037.08775000,17122
1604469600000,383.42000000,385.05000000,382.69000000,384.32000000,31398.74076000,8300
1604466000000,385.45000000,386.14000000,383.36000000,383.44000000,22106.06624000,7120
1604462400000,386.10000000,386.44000000,384.45000000,385.45000000,21086.58245000,7776
1604458800000,382.83000000,387.47000000,382.73000000,386.11000000,51903.21554000,14928
1604455200000,383.20000000,384.34000000,381.80000000,382.81000000,27825.70868000,8896
1604451600000,384.14000000,385.61000000,380.79000000,383.17000000,39442.00244000,12922
1604448000000,387.88000000,388.42000000,383.93000000,384.14000000,45968.41064000,15245
1604444400000,387.79000000,390.00000000,387.10000000,387.88000000,51695.86807000,17731
1604440800000,383.10000000,388.83000000,380.98000000,387.75000000,30525.25748000,16116
1604437200000,382.35000000,383.77000000,382.31000000,383.13000000,13507.86109000,5294
1604433600000,383.27000000,384.00000000,382.08000000,382.36000000,22371.99216000,7797
1604430000000,382.01000000,384.05000000,381.97000000,383.32000000,13995.46887000,6485
1604426400000,381.63000000,382.97000000,381.63000000,382.01000000,12392.26211000,5563
1604422800000,381.38000000,382.50000000,380.46000000,381.67000000,18477.84700000,8058
1604419200000,381.48000000,382.00000000,380.00000000,381.35000000,29491.66921000,9546
1604415600000,384.56000000,384.92000000,380.03000000,381.46000000,31323.68654000,12717
1604412000000,383.66000000,384.98000000,381.30000000,384.55000000,34022.44685000,12324
