Time,Open,high,low,close,volume,trades
1605148200000,0.25565000,0.25609000,0.25554000,0.25594000,506064.90000000,286
1605147300000,0.25502000,0.25580000,0.25495000,0.25566000,667210.80000000,431
1605146400000,0.25553000,0.25553000,0.25485000,0.25500000,801537.80000000,452
1605145500000,0.25515000,0.25554000,0.25498000,0.25553000,688168.50000000,472
1605144600000,0.25587000,0.25605000,0.25504000,0.25515000,910600.00000000,499
1605143700000,0.25488000,0.25603000,0.25462000,0.25587000,1462912.80000000,929
1605142800000,0.25519000,0.25520000,0.25438000,0.25485000,1771122.40000000,713
1605141900000,0.25445000,0.25542000,0.25445000,0.25518000,1086094.80000000,602
1605141000000,0.25464000,0.25476000,0.25413000,0.25442000,1261396.10000000,672
1605140100000,0.25371000,0.25474000,0.25338000,0.25466000,1621619.00000000,940
1605139200000,0.25581000,0.25620000,0.25300000,0.25371000,6098676.90000000,2858
1605138300000,0.25568000,0.25611000,0.25544000,0.25581000,511872.30000000,382
1605137400000,0.25603000,0.25625000,0.25546000,0.25565000,734168.30000000,465
1605136500000,0.25624000,0.25639000,0.25518000,0.25598000,1225026.30000000,661
1605135600000,0.25656000,0.25656000,0.25544000,0.25624000,1131517.30000000,811
1605134700000,0.25697000,0.25697000,0.25635000,0.25664000,438881.80000000,336
1605133800000,0.25706000,0.25727000,0.25665000,0.25696000,667681.80000000,400
1605132900000,0.25687000,0.25724000,0.25680000,0.25710000,677881.30000000,501
1605132000000,0.25650000,0.25694000,0.25608000,0.25681000,614325.20000000,413
1605131100000,0.25636000,0.25667000,0.25611000,0.25650000,626376.70000000,410
1605130200000,0.25658000,0.25677000,0.25624000,0.25634000,878306.40000000,434
1605129300000,0.25633000,0.25685000,0.25540000,0.25654000,1064559.20000000,682
1605128400000,0.25694000,0.25698000,0.25632000,0.25635000,538589.40000000,438
1605127500000,0.25643000,0.25700000,0.25632000,0.25688000,512003.30000000,372
1605126600000,0.25543000,0.25670000,0.25477000,0.25644000,2375471.10000000,1470
1605125700000,0.25617000,0.25686000,0.25542000,0.25550000,1586902.90000000,963
1605124800000,0.25763000,0.25777000,0.25592000,0.25614000,2431824.40000000,1152
1605123900000,0.25809000,0.25810000,0.25729000,0.25766000,864354.20000000,514
1605123000000,0.25706000,0.25810000,0.25655000,0.25810000,1534136.20000000,878
1605122100000,0.25806000,0.25817000,0.25686000,0.25709000,1536014.40000000,757
1605121200000,0.25779000,0.25821000,0.25766000,0.25812000,1714289.80000000,746
1605120300000,0.25890000,0.25947000,0.25765000,0.25780000,2082408.10000000,1169
1605119400000,0.25867000,0.25903000,0.25851000,0.25886000,1257381.50000000,795
1605118500000,0.25846000,0.25887000,0.25825000,0.25861000,1137092.60000000,622
1605117600000,0.25899000,0.25941000,0.25827000,0.25842000,1576706.20000000,1115
1605116700000,0.25897000,0.25928000,0.25806000,0.25895000,1882987.10000000,1241
1605115800000,0.25769000,0.25906000,0.25769000,0.25895000,2394342.10000000,1349
1605114900000,0.25772000,0.25803000,0.25748000,0.25769000,2071167.80000000,1033
1605114000000,0.25789000,0.25815000,0.25750000,0.25771000,1771468.70000000,882
1605113100000,0.25781000,0.25810000,0.25710000,0.25790000,2303966.20000000,1222
1605112200000,0.25894000,0.25944000,0.25777000,0.25785000,3167655.40000000,1705
1605111300000,0.25773000,0.25907000,0.25762000,0.25894000,2987793.70000000,1379
1605110400000,0.25751000,0.25845000,0.25717000,0.25774000,1847069.20000000,1049
1605109500000,0.25666000,0.25778000,0.25656000,0.25752000,1177994.80000000,729
1605108600000,0.25756000,0.25784000,0.25648000,0.25675000,1747294.30000000,764
1605107700000,0.25782000,0.25800000,0.25725000,0.25750000,1031710.50000000,549
1605106800000,0.25814000,0.25815000,0.25740000,0.25777000,1457016.40000000,637
1605105900000,0.25824000,0.25835000,0.25802000,0.25815000,921915.90000000,507
1605105000000,0.25891000,0.25904000,0.25766000,0.25823000,1513509.80000000,775
1605104100000,0.25946000,0.25977000,0.25858000,0.25891000,3229896.50000000,1441
1605103200000,0.25708000,0.25999000,0.25671000,0.25945000,5394730.20000000,2370
1605102300000,0.25519000,0.26000000,0.25466000,0.25703000,9005096.30000000,3309
1605101400000,0.25608000,0.25622000,0.25519000,0.25519000,2192731.90000000,900
1605100500000,0.25624000,0.25659000,0.25603000,0.25608000,1037544.40000000,519
1605099600000,0.25623000,0.25683000,0.25593000,0.25627000,1581816.80000000,658
1605098700000,0.25682000,0.25699000,0.25594000,0.25620000,1133250.70000000,589
1605097800000,0.25723000,0.25727000,0.25652000,0.25682000,1474420.00000000,560
1605096900000,0.25682000,0.25733000,0.25644000,0.25724000,903152.10000000,516
1605096000000,0.25626000,0.25679000,0.25593000,0.25679000,1402507.90000000,632
1605095100000,0.25608000,0.25657000,0.25561000,0.25629000,1652234.50000000,1098
1605094200000,0.25673000,0.25739000,0.25607000,0.25611000,2062345.00000000,1027
1605093300000,0.25704000,0.25722000,0.25635000,0.25674000,1733300.80000000,1013
