Time,Open,high,low,close,volume,trades
1605146400000,0.25553000,0.25609000,0.25485000,0.25597000,2199514.50000000,1235
1605142800000,0.25519000,0.25605000,0.25438000,0.25553000,4832803.70000000,2613
1605139200000,0.25581000,0.25620000,0.25300000,0.25518000,10067786.80000000,5072
1605135600000,0.25656000,0.25656000,0.25518000,0.25581000,3602584.20000000,2319
1605132000000,0.25650000,0.25727000,0.25608000,0.25664000,2398770.10000000,1650
1605128400000,0.25694000,0.25698000,0.25540000,0.25650000,3107831.70000000,1964
1605124800000,0.25763000,0.25777000,0.25477000,0.25688000,6906201.70000000,3957
1605121200000,0.25779000,0.25821000,0.25655000,0.25766000,5648794.60000000,2895
1605117600000,0.25899000,0.25947000,0.25765000,0.25780000,6053588.40000000,3701
1605114000000,0.25789000,0.25928000,0.25748000,0.25895000,8119965.70000000,4505
1605110400000,0.25751000,0.25944000,0.25710000,0.25790000,10306484.50000000,5355
1605106800000,0.25814000,0.25815000,0.25648000,0.25752000,5414016.00000000,2679
1605103200000,0.25708000,0.25999000,0.25671000,0.25815000,11060052.40000000,5093
1605099600000,0.25623000,0.26000000,0.25466000,0.25703000,13817189.40000000,5386
1605096000000,0.25626000,0.25733000,0.25593000,0.25620000,4913330.70000000,2297
1605092400000,0.25746000,0.25777000,0.25561000,0.25629000,7470378.20000000,4261
1605088800000,0.25588000,0.25777000,0.25576000,0.25748000,4510234.00000000,3025
1605085200000,0.25564000,0.25715000,0.25421000,0.25587000,7030783.10000000,4126
1605081600000,0.25602000,0.25721000,0.25510000,0.25566000,4625120.30000000,2982
1605078000000,0.25455000,0.25626000,0.25445000,0.25602000,3823317.50000000,2582
1605074400000,0.25477000,0.25557000,0.25427000,0.25451000,3685431.40000000,3914
1605070800000,0.25485000,0.25510000,0.25328000,0.25473000,4580884.90000000,2934
1605067200000,0.25639000,0.25693000,0.25448000,0.25482000,4869687.40000000,3179
1605063600000,0.25618000,0.25691000,0.25543000,0.25637000,3952233.30000000,2287
1605060000000,0.25711000,0.25769000,0.25496000,0.25618000,5533464.70000000,3089
1605056400000,0.25690000,0.25784000,0.25610000,0.25712000,7044366.50000000,4154
1605052800000,0.25379000,0.25887000,0.25209000,0.25690000,16947047.90000000,8262
1605049200000,0.25630000,0.25651000,0.25323000,0.25380000,6732802.20000000,3581
1605045600000,0.25659000,0.25712000,0.25602000,0.25632000,3861914.10000000,1992
1605042000000,0.25504000,0.25727000,0.25486000,0.25659000,5278550.10000000,3084
1605038400000,0.25582000,0.25684000,0.25472000,0.25499000,5308975.00000000,2709
1605034800000,0.25529000,0.25654000,0.25508000,0.25594000,4036905.80000000,2585
1605031200000,0.25429000,0.25636000,0.25299000,0.25529000,7321638.40000000,4047
1605027600000,0.25350000,0.25500000,0.25241000,0.25440000,5398295.80000000,3276
1605024000000,0.25270000,0.25445000,0.25222000,0.25349000,7018126.40000000,3496
1605020400000,0.25311000,0.25441000,0.24996000,0.25279000,16246253.40000000,7056
1605016800000,0.25631000,0.25647000,0.25189000,0.25312000,14032417.50000000,6708
1605013200000,0.25576000,0.25675000,0.25370000,0.25634000,8797685.00000000,5364
1605009600000,0.25595000,0.25800000,0.25405000,0.25574000,11153661.70000000,7143
1605006000000,0.25755000,0.25856000,0.25341000,0.25594000,18796387.30000000,9392
1605002400000,0.26050000,0.26189000,0.25724000,0.25755000,14630849.70000000,7926
1604998800000,0.26079000,0.26189000,0.25900000,0.26050000,15672030.70000000,8582
1604995200000,0.26062000,0.26500000,0.26010000,0.26076000,33589289.00000000,19541
